# Figure-4 interim queue ledger. One row per RUN, one run per pressure leg.
# Separate from screen_ledger.csv on purpose: that file is the sealed section 9
# ledger of the reference screen, and these runs belong to the Figure-4
# pre-analysis amendment, not to the sealed screen. `pressure` and `segment`
# are columns here that section 9 does not have -- section 9's column set is
# sealed and its two pressure legs are therefore two identical-looking rows.
# This file is mine, so it records the leg and the segment that produced it.
stem,stage,grade,pressure,segment,init_cycles,prod_cycles,job,walltime,nsim,group,attempt,status,submitted_at
0000[AsCd][cds]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_0_p65,15:56:00,3528,ac,1,submitted,2026-09-02T21:19:57Z
0000[Cd][fsc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_1_p05,09:36:00,2124,aa,1,submitted,2026-09-02T21:19:57Z
0000[Cd][fsc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_1_p65,09:36:00,2124,amd,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]2[ASR]2,stage1,floor,p05,sample,2000,10000,f4_2_p05,18:13:00,4032,ac,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]2[ASR]2,stage1,floor,p65,sample,2000,10000,f4_2_p65,18:13:00,4032,aa,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]3[ASR]10,stage1,floor,p05,sample,2000,10000,f4_3_p05,18:39:00,4128,amd,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]3[ASR]10,stage1,floor,p65,sample,2000,10000,f4_3_p65,18:39:00,4128,ac,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]3[ASR]13,stage1,floor,p05,sample,2000,10000,f4_4_p05,13:59:00,3096,aa,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]3[ASR]13,stage1,floor,p65,sample,2000,10000,f4_4_p65,13:59:00,3096,amd,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]3[ASR]8,stage1,floor,p05,sample,2000,10000,f4_5_p05,11:49:00,2616,ac,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nan]3[ASR]8,stage1,floor,p65,sample,2000,10000,f4_5_p65,11:49:00,2616,aa,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nbo]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_6_p05,05:44:00,1272,amd,1,submitted,2026-09-02T21:19:57Z
0000[Cd][nbo]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_6_p65,05:44:00,1272,ac,1,submitted,2026-09-02T21:19:57Z
0000[Cd][sql]2[ASR]4,stage1,floor,p05,sample,2000,10000,f4_7_p05,07:48:00,1728,aa,1,submitted,2026-09-02T21:19:57Z
0000[AsCd][cds]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_0_p65,15:56:00,3528,ac,1,submitted,2026-09-02T21:32:35Z
0000[Cd][fsc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_1_p05,09:36:00,2124,aa,1,submitted,2026-09-02T21:32:35Z
0000[Cd][fsc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_1_p65,09:36:00,2124,amd,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]2[ASR]2,stage1,floor,p05,sample,2000,10000,f4_2_p05,18:13:00,4032,ac,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]2[ASR]2,stage1,floor,p65,sample,2000,10000,f4_2_p65,18:13:00,4032,aa,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]3[ASR]10,stage1,floor,p05,sample,2000,10000,f4_3_p05,18:39:00,4128,amd,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]3[ASR]10,stage1,floor,p65,sample,2000,10000,f4_3_p65,18:39:00,4128,ac,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]3[ASR]13,stage1,floor,p05,sample,2000,10000,f4_4_p05,13:59:00,3096,aa,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]3[ASR]13,stage1,floor,p65,sample,2000,10000,f4_4_p65,13:59:00,3096,amd,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]3[ASR]8,stage1,floor,p05,sample,2000,10000,f4_5_p05,11:49:00,2616,ac,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nan]3[ASR]8,stage1,floor,p65,sample,2000,10000,f4_5_p65,11:49:00,2616,aa,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nbo]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_6_p05,05:44:00,1272,amd,1,submitted,2026-09-02T21:32:35Z
0000[Cd][nbo]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_6_p65,05:44:00,1272,ac,1,submitted,2026-09-02T21:32:35Z
0000[Cd][sql]2[ASR]4,stage1,floor,p05,sample,2000,10000,f4_7_p05,07:48:00,1728,aa,1,submitted,2026-09-02T21:32:35Z
0000[Cd][sql]2[ASR]4,stage1,floor,p65,sample,2000,10000,f4_7_p65,07:48:00,1728,amd,1,submitted,2026-09-02T21:32:35Z
0000[Ce][ant]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_8_p05,12:02:00,2664,ac,1,submitted,2026-09-02T21:32:35Z
0000[Ce][ant]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_8_p65,12:02:00,2664,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][ins]3[ASR]3,stage1,floor,p05,sample,2000,10000,f4_9_p05,18:03:00,3996,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][ins]3[ASR]3,stage1,floor,p65,sample,2000,10000,f4_9_p65,18:03:00,3996,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]2[ASR]3,stage1,floor,p05,sample,2000,10000,f4_10_p05,23:25:00,5184,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]2[ASR]3,stage1,floor,p65,sample,2000,10000,f4_10_p65,23:25:00,5184,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]2[ASR]4,stage1,floor,p05,sample,2000,10000,f4_11_p05,08:37:00,1908,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]2[ASR]4,stage1,floor,p65,sample,2000,10000,f4_11_p65,08:37:00,1908,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]13,stage1,floor,p05,sample,2000,10000,f4_12_p05,10:07:00,2240,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]13,stage1,floor,p65,sample,2000,10000,f4_12_p65,10:07:00,2240,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]15,stage1,floor,p05,sample,2000,10000,f4_13_p05,11:55:00,2640,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]15,stage1,floor,p65,sample,2000,10000,f4_13_p65,11:55:00,2640,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]3,stage1,floor,p05,sample,2000,10000,f4_14_p05,11:23:00,2520,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]3,stage1,floor,p65,sample,2000,10000,f4_14_p65,11:23:00,2520,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]6,stage1,floor,p05,sample,2000,10000,f4_15_p05,11:52:00,2628,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][nan]3[ASR]6,stage1,floor,p65,sample,2000,10000,f4_15_p65,11:52:00,2628,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][pcu]3[ASR]2,stage1,floor,p05,sample,2000,10000,f4_16_p05,09:50:00,2176,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][pcu]3[ASR]2,stage1,floor,p65,sample,2000,10000,f4_16_p65,09:50:00,2176,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][rho]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_17_p05,18:13:00,4032,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][rho]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_17_p65,18:13:00,4032,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][sit]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_18_p05,07:13:00,1600,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][sit]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_18_p65,07:13:00,1600,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][sql]2[ASR]3,stage1,floor,p05,sample,2000,10000,f4_19_p05,08:17:00,1836,aa,1,submitted,2026-09-02T21:32:35Z
0000[Co][sql]2[ASR]3,stage1,floor,p65,sample,2000,10000,f4_19_p65,08:17:00,1836,amd,1,submitted,2026-09-02T21:32:35Z
0000[Co][sxb]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_20_p05,09:32:00,2112,ac,1,submitted,2026-09-02T21:32:35Z
0000[Co][sxb]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_20_p65,09:32:00,2112,aa,1,submitted,2026-09-02T21:32:35Z
0000[CuNd][jaj]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_21_p05,13:40:00,3024,amd,1,submitted,2026-09-02T21:32:35Z
0000[CuNd][jaj]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_21_p65,13:40:00,3024,ac,1,submitted,2026-09-02T21:32:35Z
0000[CuZr][flu]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_22_p05,04:33:00,1008,aa,1,submitted,2026-09-02T21:32:35Z
0000[CuZr][flu]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_22_p65,04:33:00,1008,amd,1,submitted,2026-09-02T21:32:35Z
0000[Cu][tbo]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_23_p05,03:00:00,572,ac,1,submitted,2026-09-02T21:32:35Z
0000[Cu][tbo]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_23_p65,03:00:00,572,aa,1,submitted,2026-09-02T21:32:35Z
0000[Cu][ths]3[ASR]2,stage1,floor,p05,sample,2000,10000,f4_24_p05,05:47:00,1280,amd,1,submitted,2026-09-02T21:32:35Z
0000[Cu][ths]3[ASR]2,stage1,floor,p65,sample,2000,10000,f4_24_p65,05:47:00,1280,ac,1,submitted,2026-09-02T21:32:35Z
0000[DyCu][sqc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_25_p05,07:35:00,1680,aa,1,submitted,2026-09-02T21:32:35Z
0000[DyCu][sqc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_25_p65,07:35:00,1680,amd,1,submitted,2026-09-02T21:32:35Z
0000[Dy][sqc]3[ASR]1,stage1,floor,p05,sample,2000,10000,f4_26_p05,13:35:00,3008,ac,1,submitted,2026-09-02T21:32:35Z
0000[Dy][sqc]3[ASR]1,stage1,floor,p65,sample,2000,10000,f4_26_p65,13:35:00,3008,aa,1,submitted,2026-09-02T21:32:35Z
0000[Eu][hcb]2[ASR]1,stage1,floor,p05,sample,2000,10000,f4_27_p05,07:42:00,1704,amd,1,submitted,2026-09-02T21:32:35Z
