stem,stage,grade,init_cycles,prod_cycles,job,walltime,nsim,quartile,attempt,status,job_id
2019[V][nan]3[FSR]3,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1836,2,1,submitted,scr1_0_0000.pbs
2019[V][nan]3[FSR]3,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1836,2,1,submitted,scr1_0_0000.pbs
2021[Cu][pcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1836,2,1,submitted,scr1_0_0000.pbs
2021[Cu][pcu]3[FSR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1836,2,1,submitted,scr1_0_0000.pbs
2003[Co][nan]3[FSR]3,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1840,2,1,submitted,scr1_0_0000.pbs
2003[Co][nan]3[FSR]3,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1840,2,1,submitted,scr1_0_0000.pbs
2024[Cd][nan]3[FSR]5,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1840,2,1,submitted,scr1_0_0000.pbs
2024[Cd][nan]3[FSR]5,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1840,2,1,submitted,scr1_0_0000.pbs
2022[Sc][qtz]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1872,2,1,submitted,scr1_0_0000.pbs
2022[Sc][qtz]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1872,2,1,submitted,scr1_0_0000.pbs
2023[Cd][hcb]2[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1872,2,1,submitted,scr1_0_0000.pbs
2023[Cd][hcb]2[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1872,2,1,submitted,scr1_0_0000.pbs
2018[Zn][sql]2[FSR]24,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1888,2,1,submitted,scr1_0_0000.pbs
2018[Zn][sql]2[FSR]24,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1888,2,1,submitted,scr1_0_0000.pbs
2012[Cd][ant]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1896,2,1,submitted,scr1_0_0000.pbs
2012[Cd][ant]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1896,2,1,submitted,scr1_0_0000.pbs
2021[Mn][sql]2[FSR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1904,2,1,submitted,scr1_0_0000.pbs
2021[Mn][sql]2[FSR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1904,2,1,submitted,scr1_0_0000.pbs
2004[Cu][sra]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1920,2,1,submitted,scr1_0_0000.pbs
2004[Cu][sra]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1920,2,1,submitted,scr1_0_0000.pbs
2001[Co][nan]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1935,2,1,submitted,scr1_0_0000.pbs
2001[Co][nan]3[ASR]1,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1935,2,1,submitted,scr1_0_0000.pbs
2006[Mg][dia]3[FSR]3,stage0,claim,10000,50000,scr1_0_0000,10:59:00,1944,2,1,submitted,scr1_0_0000.pbs
2006[Mg][dia]3[FSR]3,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2006[Mg][dia]3[FSR]8,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
2006[Mg][dia]3[FSR]8,stage0,claim,10000,50000,scr1_0_0001,11:23:00,1944,2,1,submitted,scr1_0_0001.pbs
